"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLO","BE","22-Jan-2018","        275.00","        465.00","        480.00","        441.75","        441.75","        441.75","        457.72","    1038204","           475205149.75","      18453","-","-"
"APOLLO","BE","23-Jan-2018","        441.75","        419.70","        419.70","        419.70","        419.70","        419.70","        419.70","      24598","            10323780.60","        689","-","-"
"APOLLO","BE","24-Jan-2018","        419.70","        398.75","        398.75","        398.75","        398.75","        398.75","        398.75","      13765","             5488793.75","        484","-","-"
"APOLLO","BE","25-Jan-2018","        398.75","        378.85","        378.85","        378.85","        378.85","        378.85","        378.85","      16990","             6436661.50","        569","-","-"
"APOLLO","BE","29-Jan-2018","        378.85","        380.00","        394.40","        359.95","        363.50","        361.75","        370.33","     827471","           306438588.00","      20284","-","-"
"APOLLO","BE","30-Jan-2018","        361.75","        351.00","        355.00","        343.70","        343.70","        343.70","        345.87","      90338","            31245547.40","       1539","-","-"
"APOLLO","BE","31-Jan-2018","        343.70","        326.55","        360.85","        326.55","        360.00","        357.60","        338.38","     574223","           194307521.70","       5814","-","-"
"APOLLO","BE","01-Feb-2018","        357.60","        364.00","        364.50","        339.75","        339.75","        339.75","        343.92","     194019","            66727110.50","       3521","-","-"
"APOLLO","BE","02-Feb-2018","        339.75","        323.05","        332.00","        322.80","        322.80","        322.80","        324.50","      95949","            31135043.55","       2028","-","-"
"APOLLO","BE","05-Feb-2018","        322.80","        306.70","        322.40","        306.70","        320.00","        314.10","        310.73","     160312","            49813808.75","       2984","-","-"
"APOLLO","EQ","06-Feb-2018","        314.10","        290.10","        313.90","        285.20","        307.00","        308.50","        303.55","     247979","            75274469.10","       7672","      96682","         38.99"
"APOLLO","EQ","07-Feb-2018","        308.50","        314.45","        340.65","        312.50","        325.05","        327.30","        326.31","     449009","           146516908.80","      11634","     167560","         37.32"
"APOLLO","EQ","08-Feb-2018","        327.30","        330.00","        338.45","        321.10","        323.30","        323.95","        329.02","     217011","            71400077.60","       6149","      93318","         43.00"
"APOLLO","EQ","09-Feb-2018","        323.95","        315.00","        331.40","        311.00","        323.00","        322.35","        322.61","     176847","            57051820.50","       4959","      46847","         26.49"
"APOLLO","EQ","12-Feb-2018","        322.35","        326.25","        328.30","        321.50","        323.00","        322.60","        324.64","      91838","            29814594.85","       2592","      41703","         45.41"
"APOLLO","EQ","14-Feb-2018","        322.60","        317.00","        317.50","        308.05","        309.00","        309.40","        311.87","     177469","            55346835.50","       4853","      98613","         55.57"
"APOLLO","EQ","15-Feb-2018","        309.40","        310.15","        314.40","        308.30","        312.20","        311.55","        311.16","     109723","            34141690.85","       4424","      67456","         61.48"
"APOLLO","EQ","16-Feb-2018","        311.55","        313.00","        313.90","        301.00","        303.95","        302.75","        305.88","      98752","            30206108.20","       5375","      52899","         53.57"
"APOLLO","EQ","19-Feb-2018","        302.75","        306.00","        306.00","        295.25","        296.00","        296.30","        298.66","      73039","            21813530.60","       2455","      38428","         52.61"
"APOLLO","EQ","20-Feb-2018","        296.30","        296.30","        299.00","        287.95","        288.45","        288.45","        290.97","      71560","            20822006.35","       1966","      36957","         51.64"
"APOLLO","EQ","21-Feb-2018","        288.45","        291.00","        293.95","        280.50","        281.90","        281.35","        283.44","      71958","            20395824.80","       2329","      39009","         54.21"
"APOLLO","EQ","22-Feb-2018","        281.35","        281.95","        331.90","        275.60","        319.55","        321.25","        315.84","     999388","           315645415.85","      27207","     157267","         15.74"
"APOLLO","EQ","23-Feb-2018","        321.25","        321.25","        328.75","        310.00","        312.00","        312.50","        319.42","     311957","            99646755.35","       9270","      84747","         27.17"
"APOLLO","EQ","26-Feb-2018","        312.50","        314.50","        323.65","        310.00","        310.00","        311.10","        315.72","     124168","            39202002.50","       3526","      42596","         34.31"
