"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AVG","ST","11-Apr-2018","        107.00","        113.00","        118.65","        112.00","-","        118.55","        115.93","     530400","            61490040.00","        420","-","-"
"AVG","ST","12-Apr-2018","        118.55","        119.00","        121.00","        115.00","-","        117.25","        117.48","     178800","            21006120.00","        116","-","-"
"AVG","ST","13-Apr-2018","        117.25","        114.00","        117.60","        112.50","-","        112.95","        113.56","      93600","            10629600.00","         77","-","-"
"AVG","ST","16-Apr-2018","        112.95","        107.40","        114.80","        107.40","-","        112.70","        111.79","      18000","             2012160.00","         15","-","-"
"AVG","ST","17-Apr-2018","        112.70","        113.00","        113.50","        111.00","-","        112.65","        112.17","      10800","             1211460.00","          9","-","-"
"AVG","ST","18-Apr-2018","        112.65","        112.85","        112.85","        112.05","-","        112.65","        112.72","       7200","              811560.00","          6","-","-"
"AVG","ST","19-Apr-2018","        112.65","        112.65","        117.00","        112.25","-","        114.50","        114.64","      31200","             3576780.00","         21","-","-"
"AVG","ST","20-Apr-2018","        114.50","        116.00","        117.40","        114.10","-","        114.50","        116.21","      28800","             3346800.00","         16","-","-"
"AVG","ST","23-Apr-2018","        114.50","        117.00","        120.20","        115.00","-","        120.20","        119.26","      98400","            11735100.00","         43","-","-"
"AVG","ST","24-Apr-2018","        120.20","        125.80","        126.20","        116.05","-","        123.75","        121.78","      62400","             7599240.00","         36","-","-"
"AVG","SM","25-Apr-2018","        123.75","        118.00","        145.00","        117.00","        140.00","        140.45","        125.56","     718800","            90254580.00","        174","     463200","         64.44"
"AVG","SM","26-Apr-2018","        140.45","        145.00","        152.00","        135.50","        149.30","        150.90","        145.80","     148800","            21694920.00","         84","     116400","         78.23"
"AVG","SM","27-Apr-2018","        150.90","        152.95","        156.00","        149.50","        150.00","        150.00","        152.85","      50400","             7703700.00","         33","      36000","         71.43"
"AVG","SM","30-Apr-2018","        150.00","        145.00","        149.00","        140.00","        141.90","        140.95","        143.94","      10800","             1554540.00","          9","       7200","         66.67"
"AVG","SM","02-May-2018","        140.95","        143.90","        143.90","        136.00","        136.00","        137.30","        141.07","      15600","             2200740.00","         12","      12000","         76.92"
"AVG","SM","03-May-2018","        137.30","        135.00","        135.00","        132.20","        132.20","        132.20","        133.63","       4800","              641400.00","          3","       4800","        100.00"
"AVG","SM","04-May-2018","        132.20","        133.00","        139.35","        129.15","        139.35","        139.35","        134.95","      15600","             2105280.00","         12","       8400","         53.85"
"AVG","SM","07-May-2018","        139.35","        135.05","        135.05","        135.00","        135.00","        135.00","        135.02","       3600","              486060.00","          3","       2400","         66.67"
"AVG","SM","08-May-2018","        135.00","        136.00","        136.00","        136.00","        136.00","        136.00","        136.00","       1200","              163200.00","          1","       1200","        100.00"
"AVG","SM","09-May-2018","        136.00","        137.75","        137.85","        134.00","        134.00","        134.00","        135.82","       7200","              977880.00","          6","       4800","         66.67"
"AVG","SM","10-May-2018","        134.00","        128.30","        130.00","        128.00","        128.00","        128.00","        129.15","       7200","              929880.00","          6","       6000","         83.33"
"AVG","SM","11-May-2018","        128.00","        127.00","        133.70","        127.00","        133.70","        131.25","        130.18","       4800","              624840.00","          4","       4800","        100.00"
"AVG","SM","14-May-2018","        131.25","        135.00","        137.95","        126.50","        127.05","        128.00","        132.96","      13200","             1755060.00","         11","       9600","         72.73"
"AVG","SM","15-May-2018","        128.00","        122.80","        131.00","        122.00","        125.00","        125.00","        124.43","      28800","             3583680.00","         21","      21600","         75.00"
"AVG","SM","17-May-2018","        125.00","        125.00","        125.00","        121.65","        122.00","        122.50","        123.16","       7200","              886740.00","          6","       6000","         83.33"
"AVG","SM","18-May-2018","        122.50","        121.00","        123.00","        119.00","        119.00","        119.00","        121.00","       6000","              726000.00","          5","       6000","        100.00"
"AVG","SM","21-May-2018","        119.00","        114.90","        114.90","        110.00","        110.00","        110.30","        111.57","       8400","              937200.00","          7","       7200","         85.71"
