"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHEL","EQ","16-Jun-2016","        122.55","        122.00","        122.70","        119.80","        121.25","        121.40","        121.18","    3244806","           393202391.20","      23531","     706865","         21.78"
"BHEL","EQ","17-Jun-2016","        121.40","        122.80","        123.90","        121.40","        121.90","        122.35","        122.51","    5327548","           652654824.70","      45601","    2274545","         42.69"
"BHEL","EQ","20-Jun-2016","        122.35","        120.90","        124.75","        120.30","        123.75","        123.90","        123.38","    4947876","           610447944.35","      48874","    1635693","         33.06"
"BHEL","EQ","21-Jun-2016","        123.90","        124.60","        124.95","        121.50","        122.00","        121.85","        122.31","    6206415","           759108388.45","      41488","    3254838","         52.44"
"BHEL","EQ","22-Jun-2016","        121.85","        122.10","        123.20","        121.50","        122.30","        122.65","        122.27","    3381882","           413498576.80","      19153","    1007578","         29.79"
"BHEL","EQ","23-Jun-2016","        122.65","        122.30","        123.30","        119.35","        122.50","        122.45","        121.94","    4271631","           520879396.80","      26886","    1259625","         29.49"
"BHEL","EQ","24-Jun-2016","        122.45","        119.80","        119.80","        113.75","        118.35","        118.25","        116.93","    8559325","          1000801175.10","      53062","    3535078","         41.30"
"BHEL","EQ","27-Jun-2016","        118.25","        118.35","        120.55","        118.25","        119.15","        119.05","        119.29","    3703447","           441790545.30","      23915","     925634","         24.99"
"BHEL","EQ","28-Jun-2016","        119.05","        119.65","        120.50","        118.60","        119.10","        118.95","        119.40","    4449120","           531203697.35","      22159","    1500565","         33.73"
"BHEL","EQ","29-Jun-2016","        118.95","        120.30","        122.80","        119.70","        122.00","        121.95","        121.47","    5925078","           719721186.75","      32603","    1691457","         28.55"
"BHEL","EQ","30-Jun-2016","        121.95","        123.85","        128.20","        123.20","        128.10","        127.70","        126.50","   13145427","          1662894473.75","      63294","    3493858","         26.58"
"BHEL","EQ","01-Jul-2016","        127.70","        129.00","        132.95","        128.90","        131.95","        132.05","        131.49","   11649109","          1531704513.75","      53739","    3173298","         27.24"
"BHEL","EQ","04-Jul-2016","        132.05","        133.25","        138.70","        133.25","        138.00","        138.05","        136.57","   12509621","          1708419465.25","      61259","    3507832","         28.04"
"BHEL","EQ","05-Jul-2016","        138.05","        138.45","        141.45","        136.85","        139.30","        139.40","        139.71","   12272088","          1714527205.10","      48826","    4684560","         38.17"
"BHEL","EQ","07-Jul-2016","        139.40","        139.75","        141.95","        139.35","        140.10","        139.95","        140.22","    6505372","           912198310.15","      31394","    2385107","         36.66"
"BHEL","EQ","08-Jul-2016","        139.95","        140.00","        141.70","        135.65","        137.90","        137.90","        137.90","    6827875","           941570557.25","      32222","    1673768","         24.51"
"BHEL","EQ","11-Jul-2016","        137.90","        140.00","        141.80","        138.50","        139.40","        139.20","        139.83","    3167179","           442874743.35","      19370","     940499","         29.70"
"BHEL","EQ","12-Jul-2016","        139.20","        139.50","        140.15","        136.35","        138.15","        138.30","        137.80","    6351581","           875233846.50","      31296","    1864680","         29.36"
"BHEL","EQ","13-Jul-2016","        138.30","        139.00","        147.00","        139.00","        140.90","        141.50","        143.51","   13073665","          1876198474.70","      60847","    2248330","         17.20"
"BHEL","EQ","14-Jul-2016","        141.50","        141.60","        145.25","        140.20","        144.40","        144.75","        143.37","    6654871","           954132743.00","      37729","    1751134","         26.31"
"BHEL","EQ","15-Jul-2016","        144.75","        144.90","        145.55","        142.00","        142.25","        142.60","        143.36","    4424153","           634243389.70","      21902","    1181180","         26.70"
"BHEL","EQ","18-Jul-2016","        142.60","        142.70","        144.90","        138.70","        139.90","        139.80","        141.63","    6239801","           883723462.60","      33164","    1723627","         27.62"
"BHEL","EQ","19-Jul-2016","        139.80","        139.35","        140.75","        137.05","        139.25","        139.80","        139.21","    6190487","           861785238.85","      29140","    1310509","         21.17"
"BHEL","EQ","20-Jul-2016","        139.80","        139.85","        144.50","        139.60","        144.00","        144.15","        142.37","    6133446","           873247278.55","      37867","    1081943","         17.64"
