"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CIPLA","EQ","16-Jun-2016","        490.05","        487.80","        488.85","        479.35","        485.50","        486.65","        484.41","    1239939","           600638674.10","      25236","     640110","         51.62"
"CIPLA","EQ","17-Jun-2016","        486.65","        487.00","        490.00","        484.05","        484.15","        486.45","        487.16","     593507","           289135664.35","      20549","     264727","         44.60"
"CIPLA","EQ","20-Jun-2016","        486.45","        486.65","        490.90","        482.55","        488.10","        488.25","        487.86","    1026672","           500868138.00","      19069","     318855","         31.06"
"CIPLA","EQ","21-Jun-2016","        488.25","        490.00","        490.00","        480.30","        482.00","        483.40","        484.36","     861422","           417236080.75","      16937","     374408","         43.46"
"CIPLA","EQ","22-Jun-2016","        483.40","        483.85","        486.50","        480.00","        482.90","        482.45","        482.51","     673949","           325188253.05","      14825","     280208","         41.58"
"CIPLA","EQ","23-Jun-2016","        482.45","        481.10","        483.00","        474.65","        476.00","        475.75","        477.00","    1918112","           914934079.65","      33083","    1396231","         72.79"
"CIPLA","EQ","24-Jun-2016","        475.75","        468.00","        478.00","        459.60","        476.50","        476.55","        470.09","    1875935","           881852486.55","      32910","     779259","         41.54"
"CIPLA","EQ","27-Jun-2016","        476.55","        475.00","        491.00","        474.00","        490.60","        489.05","        479.82","    2362093","          1133390744.65","      34903","    1521680","         64.42"
"CIPLA","EQ","28-Jun-2016","        489.05","        490.00","        499.00","        486.55","        496.55","        497.35","        493.75","    1775304","           876548165.30","      37330","     844816","         47.59"
"CIPLA","EQ","29-Jun-2016","        497.35","        498.80","        504.00","        496.05","        501.60","        502.45","        501.66","    1048438","           525954717.05","      21600","     475055","         45.31"
"CIPLA","EQ","30-Jun-2016","        502.45","        505.00","        506.80","        499.45","        500.80","        501.00","        503.05","    2152521","          1082819369.95","      33509","    1415081","         65.74"
"CIPLA","EQ","01-Jul-2016","        501.00","        502.00","        510.00","        499.85","        509.40","        508.60","        506.17","    1008068","           510255964.85","      24822","     493100","         48.92"
"CIPLA","EQ","04-Jul-2016","        508.60","        510.70","        513.40","        508.10","        510.00","        510.20","        510.85","    1055119","           539011012.10","      31073","     635200","         60.20"
"CIPLA","EQ","05-Jul-2016","        510.20","        510.20","        511.10","        502.70","        507.25","        507.00","        506.71","     689915","           349590192.30","      17065","     270274","         39.17"
"CIPLA","EQ","07-Jul-2016","        507.00","        505.50","        517.35","        504.05","        517.10","        514.30","        512.74","    2078580","          1065773786.25","      26238","    1307254","         62.89"
"CIPLA","EQ","08-Jul-2016","        514.30","        518.00","        522.45","        513.05","        521.05","        520.30","        518.84","    1828792","           948842202.55","      29560","     967816","         52.92"
"CIPLA","EQ","11-Jul-2016","        520.30","        525.40","        528.25","        520.00","        520.90","        522.00","        523.01","    1441960","           754160788.55","      29210","     861553","         59.75"
"CIPLA","EQ","12-Jul-2016","        522.00","        522.50","        522.90","        514.10","        515.40","        515.70","        516.36","     891315","           460236557.65","      26027","     479360","         53.78"
"CIPLA","EQ","13-Jul-2016","        515.70","        516.00","        519.45","        511.20","        514.30","        514.60","        515.17","    1202156","           619311551.60","      37396","     708170","         58.91"
"CIPLA","EQ","14-Jul-2016","        514.60","        515.90","        516.60","        507.00","        511.05","        511.95","        511.14","    1257722","           642874315.70","      29293","     650535","         51.72"
