"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EDL","EQ","16-Jun-2016","         57.35","         56.45","         58.25","         55.00","         56.55","         56.35","         56.32","      96674","             5444751.60","        806","      75567","         78.17"
"EDL","EQ","17-Jun-2016","         56.35","         56.80","         59.40","         56.50","         58.00","         57.85","         58.10","      62621","             3638086.40","        840","      35277","         56.33"
"EDL","EQ","20-Jun-2016","         57.85","         57.85","         58.00","         56.90","         57.20","         57.35","         57.46","      18415","             1058136.70","        229","      11271","         61.21"
"EDL","EQ","21-Jun-2016","         57.35","         57.90","         59.35","         57.10","         57.15","         57.50","         58.02","      34812","             2019733.00","        550","      15429","         44.32"
"EDL","EQ","22-Jun-2016","         57.50","         58.00","         58.60","         56.80","         56.80","         57.30","         57.80","      23182","             1339947.85","        311","      13430","         57.93"
"EDL","EQ","23-Jun-2016","         57.30","         57.75","         57.75","         56.00","         56.60","         56.30","         56.76","      10006","              567942.95","        271","       7323","         73.19"
"EDL","EQ","24-Jun-2016","         56.30","         55.10","         55.80","         51.50","         55.50","         54.85","         54.14","      32401","             1754156.00","        673","      13945","         43.04"
"EDL","EQ","27-Jun-2016","         54.85","         53.25","         56.85","         53.25","         56.75","         56.40","         56.27","      44204","             2487575.20","        546","      23627","         53.45"
"EDL","EQ","28-Jun-2016","         56.40","         56.05","         56.95","         55.75","         55.80","         56.10","         56.15","      42528","             2387742.05","        416","      24788","         58.29"
"EDL","EQ","29-Jun-2016","         56.10","         56.80","         60.30","         56.40","         58.50","         58.80","         58.62","     107092","             6278245.95","       1298","      41313","         38.58"
"EDL","EQ","30-Jun-2016","         58.80","         60.35","         62.60","         59.00","         59.90","         59.75","         60.78","     109250","             6640036.05","       1353","      42019","         38.46"
"EDL","EQ","01-Jul-2016","         59.75","         60.75","         63.30","         59.00","         61.75","         61.30","         61.65","     118727","             7319281.10","       1497","      49835","         41.97"
"EDL","EQ","04-Jul-2016","         61.30","         62.45","         62.80","         60.50","         61.00","         60.90","         61.50","      39518","             2430474.70","        547","      19725","         49.91"
"EDL","EQ","05-Jul-2016","         60.90","         60.35","         61.85","         60.20","         61.00","         60.95","         60.88","      25711","             1565351.35","        479","      16809","         65.38"
"EDL","EQ","07-Jul-2016","         60.95","         61.00","         61.70","         58.05","         60.50","         60.10","         60.30","      21204","             1278508.50","        459","      12934","         61.00"
"EDL","EQ","08-Jul-2016","         60.10","         61.45","         66.00","         59.40","         63.05","         63.10","         63.37","     148305","             9398038.60","       1774","      52876","         35.65"
"EDL","EQ","11-Jul-2016","         63.10","         62.10","         63.90","         61.50","         61.60","         62.15","         62.80","      36514","             2293013.80","        452","      21400","         58.61"
"EDL","EQ","12-Jul-2016","         62.15","         62.40","         64.90","         61.35","         62.20","         62.40","         63.16","      42022","             2654056.40","        632","      17961","         42.74"
"EDL","EQ","13-Jul-2016","         62.40","         62.60","         63.30","         59.40","         59.55","         59.95","         61.19","      26087","             1596301.95","        394","      16240","         62.25"
"EDL","EQ","14-Jul-2016","         59.95","         60.05","         61.70","         59.00","         60.35","         60.40","         60.45","      16813","             1016341.30","        467","       8827","         52.50"
"EDL","EQ","15-Jul-2016","         60.40","         61.00","         63.45","         59.30","         60.00","         60.20","         61.56","      60588","             3729919.50","       1104","      21871","         36.10"
"EDL","EQ","18-Jul-2016","         60.20","         60.30","         61.95","         58.60","         58.90","         58.95","         60.05","      23540","             1413599.45","        346","      16352","         69.46"
"EDL","EQ","19-Jul-2016","         58.95","         59.20","         60.35","         58.55","         58.80","         58.85","         59.43","      11639","              691650.60","        226","       8066","         69.30"
"EDL","EQ","20-Jul-2016","         58.85","         59.95","         62.20","         59.10","         60.30","         60.50","         60.94","      65895","             4015327.10","        709","      13367","         20.29"
"EDL","EQ","21-Jul-2016","         60.50","         60.55","         61.45","         59.10","         59.65","         59.30","         60.28","      17835","             1075074.05","        341","      10527","         59.02"
"EDL","EQ","22-Jul-2016","         59.30","         60.00","         60.80","         59.00","         59.80","         59.40","         59.98","      14656","              879020.90","        291","       7332","         50.03"
"EDL","EQ","25-Jul-2016","         59.40","         60.00","         63.25","         59.40","         62.00","         61.85","         62.28","     117104","             7293332.95","       1076","      51935","         44.35"
"EDL","EQ","26-Jul-2016","         61.85","         62.50","         62.50","         60.30","         60.95","         60.55","         61.18","      23740","             1452493.50","        346","      14702","         61.93"
"EDL","EQ","27-Jul-2016","         60.55","         61.50","         62.30","         59.00","         60.10","         59.95","         60.58","      33408","             2023847.70","        383","      25464","         76.22"
"EDL","EQ","28-Jul-2016","         59.95","         61.50","         61.50","         57.65","         58.00","         57.90","         58.69","      74776","             4388780.45","        642","      41967","         56.12"
"EDL","EQ","29-Jul-2016","         57.90","         58.80","         58.90","         56.60","         56.75","         56.85","         57.21","      46416","             2655239.45","        485","      28972","         62.42"
"EDL","EQ","01-Aug-2016","         56.85","         56.60","         58.30","         56.10","         56.35","         56.35","         57.44","      27279","             1566838.20","        651","      16729","         61.33"
"EDL","EQ","02-Aug-2016","         56.35","         57.00","         57.70","         55.60","         56.30","         56.15","         56.63","      11311","              640486.85","        132","       8044","         71.12"
"EDL","EQ","03-Aug-2016","         56.15","         57.00","         57.05","         54.00","         54.40","         54.45","         55.34","      24557","             1358922.25","        567","      18552","         75.55"
"EDL","EQ","04-Aug-2016","         54.45","         55.50","         56.55","         53.50","         54.10","         54.45","         54.53","      23374","             1274682.85","        350","      13243","         56.66"
"EDL","EQ","05-Aug-2016","         54.45","         54.60","         55.40","         54.35","         54.60","         54.60","         54.82","      16460","              902283.25","        345","       9799","         59.53"
"EDL","EQ","08-Aug-2016","         54.60","         54.05","         55.35","         54.00","         54.50","         54.60","         54.62","      15653","              854895.10","        251","       9908","         63.30"
"EDL","EQ","09-Aug-2016","         54.60","         55.05","         55.05","         53.25","         54.30","         53.75","         53.95","      21641","             1167514.15","        311","      16882","         78.01"
"EDL","EQ","10-Aug-2016","         53.75","         54.40","         58.00","         53.55","         54.15","         53.90","         55.57","      95697","             5318089.85","       1172","      34661","         36.22"
"EDL","EQ","11-Aug-2016","         53.90","         54.70","         55.45","         53.60","         54.00","         53.80","         54.61","      28682","             1566218.95","        325","      16247","         56.65"
"EDL","EQ","12-Aug-2016","         53.80","         51.80","         52.80","         49.00","         50.70","         50.60","         51.29","      65841","             3377189.85","        785","      41331","         62.77"
