"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FSL","EQ","16-Jun-2016","         46.80","         46.90","         47.70","         45.40","         46.00","         46.30","         46.48","    3648311","           169588770.60","       9322","    1792098","         49.12"
"FSL","EQ","17-Jun-2016","         46.30","         46.45","         47.10","         45.15","         45.25","         45.35","         46.02","    2039460","            93856469.80","       6540","     841961","         41.28"
"FSL","EQ","20-Jun-2016","         45.35","         44.95","         46.70","         44.70","         46.10","         46.20","         45.88","    2359048","           108232029.00","       5814","     962594","         40.80"
"FSL","EQ","21-Jun-2016","         46.20","         46.30","         47.15","         45.95","         46.45","         46.55","         46.59","    2392252","           111465413.50","       5919","    1068618","         44.67"
"FSL","EQ","22-Jun-2016","         46.55","         46.75","         47.15","         45.75","         45.95","         46.20","         46.67","    2174130","           101461857.15","       5393","     989922","         45.53"
"FSL","EQ","23-Jun-2016","         46.20","         46.25","         46.80","         45.20","         46.50","         46.50","         46.15","    2443253","           112747282.05","       4864","    1430887","         58.56"
"FSL","EQ","24-Jun-2016","         46.50","         44.80","         44.80","         41.45","         44.05","         44.10","         43.12","    6419667","           276824328.50","      21186","    3271425","         50.96"
"FSL","EQ","27-Jun-2016","         44.10","         44.00","         45.50","         43.50","         44.70","         44.45","         44.60","    2850183","           127121114.25","       6536","    1230931","         43.19"
"FSL","EQ","28-Jun-2016","         44.45","         44.90","         45.45","         43.80","         44.50","         44.20","         44.55","    1843791","            82148556.90","       5724","    1042872","         56.56"
"FSL","EQ","29-Jun-2016","         44.20","         44.60","         46.20","         44.50","         45.20","         45.35","         45.44","    4214820","           191503132.00","      11527","    1953185","         46.34"
"FSL","EQ","30-Jun-2016","         45.35","         45.90","         47.00","         45.75","         46.60","         46.40","         46.44","    4241829","           196980472.00","      10683","    1640869","         38.68"
"FSL","EQ","01-Jul-2016","         46.40","         46.80","         47.90","         46.35","         46.65","         46.55","         47.09","    4567416","           215082274.25","       7900","    2649304","         58.00"
"FSL","EQ","04-Jul-2016","         46.55","         46.50","         50.25","         46.50","         50.10","         49.90","         49.05","   13081711","           641671149.70","      24086","    4880445","         37.31"
"FSL","EQ","05-Jul-2016","         49.90","         50.15","         50.40","         48.60","         48.70","         48.90","         49.61","    5534920","           274599543.15","      20162","    2488077","         44.95"
"FSL","EQ","07-Jul-2016","         48.90","         49.30","         49.50","         47.40","         47.95","         48.00","         48.43","    5126880","           248312210.85","      23403","    1768633","         34.50"
"FSL","EQ","08-Jul-2016","         48.00","         47.80","         48.10","         46.65","         46.70","         46.90","         47.26","    2585506","           122186202.60","      10919","    1409664","         54.52"
"FSL","EQ","11-Jul-2016","         46.90","         47.45","         48.60","         47.25","         48.30","         48.25","         48.01","    3381974","           162371328.65","      15613","    1587076","         46.93"
"FSL","EQ","12-Jul-2016","         48.25","         48.50","         49.50","         47.50","         49.10","         49.20","         48.72","    4815215","           234616987.05","      22616","    1943068","         40.35"
"FSL","EQ","13-Jul-2016","         49.20","         49.00","         49.80","         47.30","         47.50","         47.55","         48.30","    2682403","           129559298.50","       9446","    1154433","         43.04"
"FSL","EQ","14-Jul-2016","         47.55","         47.60","         49.25","         46.95","         48.90","         48.80","         48.44","    3374309","           163454998.85","       7342","    1616373","         47.90"
"FSL","EQ","15-Jul-2016","         48.80","         48.90","         49.25","         47.50","         47.85","         47.95","         48.15","    2445428","           117739184.60","       6467","    1261322","         51.58"
"FSL","EQ","18-Jul-2016","         47.95","         48.05","         49.95","         47.75","         48.60","         49.15","         48.94","    6883399","           336849412.05","      23506","    2368750","         34.41"
"FSL","EQ","19-Jul-2016","         49.15","         48.70","         48.95","         47.40","         47.55","         47.65","         48.08","    2891743","           139048231.10","       7775","    1298494","         44.90"
"FSL","EQ","20-Jul-2016","         47.65","         47.70","         48.80","         47.50","         48.25","         48.25","         48.30","    2164981","           104559703.60","       5369","     762672","         35.23"
"FSL","EQ","21-Jul-2016","         48.25","         48.25","         51.55","         47.75","         50.25","         50.20","         50.02","   11326591","           566601666.80","      21377","    4049009","         35.75"
"FSL","EQ","22-Jul-2016","         50.20","         50.50","         51.80","         49.80","         50.80","         50.95","         50.91","    7025793","           357652172.20","      15305","    2732909","         38.90"
"FSL","EQ","25-Jul-2016","         50.95","         51.20","         53.20","         50.80","         53.00","         52.85","         52.30","    9499098","           496775751.95","      16991","    4917711","         51.77"
"FSL","EQ","26-Jul-2016","         52.85","         53.25","         53.65","         48.65","         49.20","         49.25","         51.15","   12167063","           622370298.70","      26738","    5175163","         42.53"
"FSL","EQ","27-Jul-2016","         49.25","         49.65","         50.30","         47.75","         48.40","         48.30","         48.85","    3867144","           188913291.95","       9185","    1968927","         50.91"
"FSL","EQ","28-Jul-2016","         48.30","         48.60","         48.70","         47.00","         47.40","         47.30","         47.88","    2292428","           109766208.40","       6179","    1371434","         59.82"
"FSL","EQ","29-Jul-2016","         47.30","         47.70","         48.10","         45.35","         46.60","         46.55","         47.08","    2603511","           122564619.15","       7084","    1384331","         53.17"
"FSL","EQ","01-Aug-2016","         46.55","         46.70","         48.70","         46.70","         48.45","         48.40","         48.13","    3792095","           182515024.05","      10922","    2097153","         55.30"
"FSL","EQ","02-Aug-2016","         48.40","         48.70","         49.40","         47.60","         48.25","         48.25","         48.54","    4126642","           200315769.70","      10124","    2325396","         56.35"
"FSL","EQ","03-Aug-2016","         48.25","         48.40","         48.40","         46.80","         47.10","         47.10","         47.46","    1917751","            91008110.40","       7262","    1121132","         58.46"
"FSL","EQ","04-Aug-2016","         47.10","         47.50","         48.30","         47.00","         47.45","         47.45","         47.66","    2626893","           125202657.40","       6596","    1616491","         61.54"
"FSL","EQ","05-Aug-2016","         47.45","         47.45","         47.90","         46.65","         46.90","         46.85","         47.20","    1534266","            72419185.45","       3617","     819212","         53.39"
"FSL","EQ","08-Aug-2016","         46.85","         47.40","         48.30","         46.70","         47.90","         48.05","         47.42","    3484279","           165207458.20","       7919","    2148415","         61.66"
"FSL","EQ","09-Aug-2016","         48.05","         48.10","         48.30","         47.15","         47.20","         47.30","         47.56","    1452531","            69077955.35","       4458","     759168","         52.27"
"FSL","EQ","10-Aug-2016","         47.30","         47.50","         47.70","         46.20","         46.40","         46.35","         46.67","    1782022","            83164976.00","       5242","    1019659","         57.22"
"FSL","EQ","11-Aug-2016","         46.35","         46.75","         46.75","         43.10","         44.70","         44.85","         44.81","    3637332","           163005112.55","       8614","    2163388","         59.48"
"FSL","EQ","12-Aug-2016","         44.85","         45.00","         45.95","         44.25","         44.80","         44.80","         45.01","    1540955","            69357311.05","       4587","     674680","         43.78"
"FSL","EQ","16-Aug-2016","         44.80","         45.05","         45.20","         44.45","         44.60","         44.60","         44.71","     737294","            32963289.50","       2990","     351960","         47.74"
"FSL","EQ","17-Aug-2016","         44.60","         44.65","         44.65","         43.45","         43.90","         44.10","         44.05","    1191443","            52488966.30","       3529","     500768","         42.03"
"FSL","EQ","18-Aug-2016","         44.10","         44.40","         45.50","         44.15","         44.45","         44.60","         44.79","    1083835","            48548818.00","       3519","     529344","         48.84"
"FSL","EQ","19-Aug-2016","         44.60","         44.90","         45.55","         44.50","         45.25","         45.15","         44.95","    2085518","            93745981.85","       4791","    1128015","         54.09"
"FSL","EQ","22-Aug-2016","         45.15","         45.00","         45.70","         43.65","         43.85","         43.85","         44.33","    1742391","            77246104.35","       5178","     893948","         51.31"
"FSL","EQ","23-Aug-2016","         43.85","         44.15","         44.90","         43.60","         44.00","         43.95","         44.34","    2102903","            93242373.95","       5364","     841939","         40.04"
"FSL","EQ","24-Aug-2016","         43.95","         44.20","         44.55","         43.70","         43.85","         43.80","         44.03","    1012653","            44588089.55","       2632","     474343","         46.84"
"FSL","EQ","25-Aug-2016","         43.80","         44.15","         44.20","         43.45","         43.80","         43.75","         43.85","    1008279","            44215018.20","       4363","     491691","         48.77"
"FSL","EQ","26-Aug-2016","         43.75","         43.95","         43.95","         42.55","         42.80","         42.95","         43.09","    1231381","            53061840.25","       4141","     673185","         54.67"
"FSL","EQ","29-Aug-2016","         42.95","         43.00","         43.15","         42.25","         42.45","         42.50","         42.59","    1030020","            43872893.60","       4087","     536891","         52.12"
"FSL","EQ","30-Aug-2016","         42.50","         42.60","         42.60","         41.60","         42.10","         42.15","         42.02","    2042919","            85838476.45","       5216","     858706","         42.03"
"FSL","EQ","31-Aug-2016","         42.15","         42.45","         44.20","         42.20","         43.95","         43.85","         43.61","    1953202","            85169788.65","       7495","     717976","         36.76"
