"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","16-Jun-2016","       1205.15","       1198.00","       1205.80","       1182.15","       1200.70","       1200.95","       1194.66","    1840887","          2199230373.00","     108127","    1063519","         57.77"
"HDFC","EQ","17-Jun-2016","       1200.95","       1215.00","       1235.90","       1210.35","       1223.00","       1227.30","       1223.83","    2684017","          3284774378.80","     111231","    1627067","         60.62"
"HDFC","W2","17-Jun-2016","        130.00","        133.95","        134.00","        132.50","        132.50","        132.50","        133.26","      29200","             3891265.00","          4","      21900","         75.00"
"HDFC","EQ","20-Jun-2016","       1227.30","       1212.00","       1234.00","       1206.00","       1230.15","       1227.55","       1225.12","    2128249","          2607357335.10","      60941","    1325332","         62.27"
"HDFC","EQ","21-Jun-2016","       1227.55","       1233.00","       1242.40","       1220.00","       1235.60","       1238.15","       1233.66","    2277146","          2809229015.80","      52366","    1713113","         75.23"
"HDFC","W2","21-Jun-2016","        132.50","        132.50","        132.50","        132.00","        132.00","        132.00","        132.25","      14600","             1930850.00","          2","      14600","        100.00"
"HDFC","EQ","22-Jun-2016","       1238.15","       1234.00","       1241.80","       1225.00","       1237.50","       1238.35","       1233.51","    2568936","          3168798373.05","      72434","    1968465","         76.63"
"HDFC","EQ","23-Jun-2016","       1238.35","       1237.90","       1249.45","       1228.20","       1243.05","       1245.50","       1239.10","    1323818","          1640339024.35","      55418","     889557","         67.20"
"HDFC","W2","23-Jun-2016","        132.00","        133.00","        133.70","        133.00","        133.00","        133.00","        133.14","      73000","             9719220.00","         10","      73000","        100.00"
"HDFC","EQ","24-Jun-2016","       1245.50","       1210.00","       1225.90","       1201.00","       1225.00","       1222.75","       1213.95","    2579159","          3130957510.25","      54945","    1579827","         61.25"
"HDFC","W2","24-Jun-2016","        133.00","        127.00","        127.00","        127.00","        127.00","        127.00","        127.00","      21900","             2781300.00","          3","      21900","        100.00"
"HDFC","EQ","27-Jun-2016","       1222.75","       1211.10","       1229.75","       1210.55","       1217.00","       1214.60","       1220.71","    1699797","          2074955299.25","      53778","    1111703","         65.40"
"HDFC","EQ","28-Jun-2016","       1214.60","       1211.25","       1231.65","       1211.25","       1229.00","       1228.90","       1223.40","    1264518","          1547015923.05","      76645","     712798","         56.37"
"HDFC","W2","28-Jun-2016","        127.00","        130.00","        130.00","        130.00","        130.00","        130.00","        130.00","      21900","             2847000.00","          1","      21900","        100.00"
