"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NHAI","N1","16-Jun-2016","       1144.33","       1149.00","       1159.99","       1141.10","       1143.00","       1144.56","       1147.57","       1170","             1342652.50","         18","        825","         70.51"
"NHAI","N2","16-Jun-2016","       1187.95","       1188.00","       1190.00","       1188.00","       1190.00","       1190.00","       1188.85","         52","               61820.00","          6","         51","         98.08"
"NHAI","N6","16-Jun-2016","       1202.69","       1200.00","       1209.70","       1196.00","       1202.51","       1204.08","       1203.59","       3665","             4411155.70","         42","       3640","         99.32"
"NHAI","N8","16-Jun-2016","       1076.55","       1055.05","       1076.00","       1055.05","       1075.00","       1075.00","       1070.51","        400","              428205.00","          3","        300","         75.00"
"NHAI","NA","16-Jun-2016","       1092.04","       1098.00","       1098.00","       1092.00","       1093.00","       1092.94","       1092.87","      38018","            41548564.10","         62","      37708","         99.18"
"NHAI","NE","16-Jun-2016","       1102.34","       1104.00","       1104.90","       1103.00","       1103.00","       1103.00","       1103.08","       1829","             2017541.84","          8","       1727","         94.42"
"NHAI","N1","17-Jun-2016","       1144.56","       1145.00","       1145.00","       1140.00","       1141.00","       1141.03","       1141.47","       9201","            10502656.00","         33","       8800","         95.64"
"NHAI","N2","17-Jun-2016","       1190.00","       1188.00","       1188.00","       1182.50","       1188.00","       1185.49","       1185.04","       1114","             1320135.67","         13","       1032","         92.64"
"NHAI","N6","17-Jun-2016","       1204.08","       1201.00","       1207.00","       1201.00","       1207.00","       1202.70","       1201.86","       1252","             1504727.95","         24","       1247","         99.60"
"NHAI","NA","17-Jun-2016","       1092.94","       1093.00","       1094.00","       1091.00","       1092.36","       1092.38","       1092.40","      19950","            21793303.85","         29","      19000","         95.24"
"NHAI","NE","17-Jun-2016","       1103.00","       1103.00","       1104.80","       1102.75","       1104.00","       1103.75","       1103.61","       3985","             4397881.50","         16","       3785","         94.98"
"NHAI","N1","20-Jun-2016","       1141.03","       1140.17","       1146.00","       1140.16","       1142.60","       1144.25","       1143.33","        549","              627690.60","         11","        245","         44.63"
"NHAI","N2","20-Jun-2016","       1185.49","       1188.00","       1195.00","       1188.00","       1195.00","       1195.00","       1192.56","       1156","             1378595.20","         20","       1154","         99.83"
"NHAI","N6","20-Jun-2016","       1202.70","       1207.90","       1209.00","       1207.40","       1209.00","       1209.00","       1207.79","        550","              664285.00","          5","        550","        100.00"
"NHAI","N8","20-Jun-2016","       1075.00","       1047.00","       1075.00","       1047.00","       1055.00","       1055.00","       1069.12","        540","              577322.40","          7","        500","         92.59"
"NHAI","NA","20-Jun-2016","       1092.38","       1091.00","       1093.99","       1090.80","       1093.75","       1093.75","       1091.89","       4447","             4855623.21","         34","       4020","         90.40"
"NHAI","NE","20-Jun-2016","       1103.75","       1104.89","       1104.90","       1080.01","       1104.00","       1104.00","       1103.61","       9446","            10424690.89","         44","       5101","         54.00"
"NHAI","N1","21-Jun-2016","       1144.25","       1143.01","       1149.75","       1140.55","       1143.75","       1143.79","       1146.46","       3721","             4265968.70","         41","       3368","         90.51"
"NHAI","N2","21-Jun-2016","       1195.00","       1194.00","       1194.00","       1193.97","       1193.97","       1193.97","       1194.00","        420","              501479.40","          3","        420","        100.00"
"NHAI","N4","21-Jun-2016","       1200.00","       1200.00","       1200.00","       1185.00","       1200.00","       1200.00","       1194.09","        685","              817951.50","         18","        685","        100.00"
"NHAI","N6","21-Jun-2016","       1209.00","       1207.90","       1207.90","       1207.90","       1207.90","       1207.90","       1207.90","        475","              573752.50","          3","        475","        100.00"
"NHAI","NA","21-Jun-2016","       1093.75","       1093.90","       1093.90","       1091.07","       1093.65","       1093.60","       1093.11","       1408","             1539096.60","         15","       1303","         92.54"
"NHAI","NE","21-Jun-2016","       1104.00","       1102.20","       1104.48","       1098.00","       1104.48","       1104.19","       1102.56","       2454","             2705682.39","         18","       1264","         51.51"
"NHAI","N1","22-Jun-2016","       1143.79","       1144.00","       1147.79","       1142.10","       1143.00","       1144.64","       1144.12","       2260","             2585712.50","         15","       2260","        100.00"
"NHAI","N2","22-Jun-2016","       1193.97","       1199.00","       1199.20","       1195.00","       1195.00","       1195.00","       1195.00","       2879","             3440413.20","         10","       2877","         99.93"
"NHAI","N4","22-Jun-2016","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","         50","               60000.00","          2","         50","        100.00"
"NHAI","N5","22-Jun-2016","       1175.00","       1179.52","       1179.52","       1179.52","       1179.52","       1179.52","       1179.52","        100","              117952.00","          1","        100","        100.00"
"NHAI","N6","22-Jun-2016","       1207.90","       1207.00","       1207.00","       1201.00","       1201.00","       1203.85","       1204.00","        220","              264880.00","          3","        220","        100.00"
"NHAI","NA","22-Jun-2016","       1093.60","       1092.11","       1093.55","       1091.25","       1093.05","       1093.05","       1091.91","       1238","             1351790.30","         18","       1138","         91.92"
"NHAI","NC","22-Jun-2016","       1045.00","       1235.00","       1235.00","       1235.00","       1235.00","       1235.00","       1235.00","         10","               12350.00","          1","         10","        100.00"
"NHAI","NE","22-Jun-2016","       1104.19","       1104.00","       1105.00","       1103.00","       1103.25","       1104.98","       1104.92","       5741","             6343369.09","         16","       5478","         95.42"
"NHAI","N1","23-Jun-2016","       1144.64","       1143.00","       1145.00","       1139.60","       1139.60","       1139.60","       1142.17","       2773","             3167251.10","         33","       2673","         96.39"
"NHAI","N2","23-Jun-2016","       1195.00","       1192.00","       1192.00","       1192.00","       1192.00","       1192.00","       1192.00","        900","             1072800.00","          1","        900","        100.00"
"NHAI","N4","23-Jun-2016","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","          5","                6000.00","          1","          5","        100.00"
"NHAI","N6","23-Jun-2016","       1203.85","       1208.90","       1209.00","       1195.00","       1195.00","       1195.00","       1199.35","       2230","             2674553.50","         24","       2220","         99.55"
"NHAI","N8","23-Jun-2016","       1055.00","       1056.00","       1077.00","       1056.00","       1075.00","       1075.00","       1072.32","         65","               69701.00","          6","         53","         81.54"
"NHAI","NA","23-Jun-2016","       1093.05","       1092.05","       1095.00","       1092.05","       1093.60","       1094.23","       1094.38","       9488","            10383442.05","         50","       7262","         76.54"
"NHAI","NE","23-Jun-2016","       1104.98","       1105.99","       1107.00","       1103.02","       1103.02","       1103.36","       1105.24","       3296","             3642859.39","         25","       2649","         80.37"
"NHAI","N1","24-Jun-2016","       1139.60","       1139.99","       1139.99","       1137.25","       1139.98","       1139.43","       1139.19","       1100","             1253111.90","         16","       1100","        100.00"
"NHAI","N2","24-Jun-2016","       1192.00","       1205.00","       1205.00","       1190.00","       1190.00","       1190.00","       1190.48","         52","               61905.00","          3","         51","         98.08"
"NHAI","N8","24-Jun-2016","       1075.00","       1055.00","       1060.00","       1055.00","       1060.00","       1060.00","       1058.57","         35","               37050.00","          2","         35","        100.00"
"NHAI","NA","24-Jun-2016","       1094.23","       1095.00","       1095.88","       1092.05","       1094.60","       1095.76","       1094.76","       3497","             3828389.88","         41","       3448","         98.60"
"NHAI","NC","24-Jun-2016","       1235.00","       1045.00","       1045.00","       1045.00","       1045.00","       1045.00","       1045.00","          9","                9405.00","          2","          9","        100.00"
"NHAI","NE","24-Jun-2016","       1103.36","       1103.00","       1107.75","       1102.00","       1107.75","       1107.75","       1105.49","       2380","             2631067.00","         27","       1680","         70.59"
"NHAI","N1","27-Jun-2016","       1139.43","       1137.01","       1142.00","       1137.01","       1138.60","       1139.87","       1140.14","       5590","             6373357.70","         46","       4970","         88.91"
"NHAI","N2","27-Jun-2016","       1190.00","       1200.00","       1200.00","       1190.00","       1190.00","       1190.23","       1192.08","       2939","             3503528.00","         18","       2939","        100.00"
"NHAI","N4","27-Jun-2016","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","       1200.00","        100","              120000.00","          2","        100","        100.00"
"NHAI","N6","27-Jun-2016","       1195.00","       1195.00","       1219.00","       1195.00","       1210.00","       1209.66","       1208.86","       2355","             2846875.00","         40","       2000","         84.93"
"NHAI","N8","27-Jun-2016","       1060.00","       1048.00","       1070.00","       1048.00","       1065.01","       1065.01","       1064.62","        284","              302351.00","          7","        204","         71.83"
"NHAI","NA","27-Jun-2016","       1095.76","       1098.00","       1098.00","       1094.05","       1096.00","       1095.77","       1095.04","       5121","             5607687.82","         25","       4216","         82.33"
"NHAI","NE","27-Jun-2016","       1107.75","       1109.98","       1109.98","       1104.00","       1107.95","       1107.95","       1105.31","       1402","             1549641.28","         17","       1301","         92.80"
"NHAI","N1","28-Jun-2016","       1139.87","       1137.11","       1139.99","       1132.01","       1139.99","       1139.99","       1137.46","       2049","             2330654.75","         49","       1921","         93.75"
"NHAI","N2","28-Jun-2016","       1190.23","       1198.99","       1198.99","       1192.50","       1192.50","       1192.50","       1194.71","        411","              491026.99","          5","        410","         99.76"
"NHAI","N6","28-Jun-2016","       1209.66","       1215.00","       1220.00","       1211.00","       1211.00","       1211.00","       1213.89","        260","              315610.10","          6","        250","         96.15"
"NHAI","N8","28-Jun-2016","       1065.01","       1056.01","       1070.00","       1056.01","       1070.00","       1070.00","       1068.60","        315","              336610.00","          8","        300","         95.24"
"NHAI","NA","28-Jun-2016","       1095.77","       1096.25","       1096.25","       1093.50","       1094.00","       1095.60","       1095.85","       2619","             2870037.10","         20","       2609","         99.62"
"NHAI","NC","28-Jun-2016","       1045.00","       1145.00","       1145.00","       1145.00","       1145.00","       1145.00","       1145.00","          8","                9160.00","          2","          8","        100.00"
"NHAI","NE","28-Jun-2016","       1107.95","       1108.00","       1109.85","       1107.35","       1109.80","       1109.65","       1109.29","       2448","             2715550.23","         32","       1995","         81.50"
"NHAI","N1","29-Jun-2016","       1139.99","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","       1656","             1887840.00","         10","       1656","        100.00"
"NHAI","N2","29-Jun-2016","       1192.50","       1191.01","       1191.01","       1191.01","       1191.01","       1191.01","       1191.01","       1000","             1191010.00","          1","       1000","        100.00"
"NHAI","N4","29-Jun-2016","       1200.00","       1200.00","       1200.00","       1165.00","       1165.00","       1165.00","       1185.60","        100","              118560.00","          5","        100","        100.00"
"NHAI","N6","29-Jun-2016","       1211.00","       1207.00","       1225.99","       1207.00","       1218.00","       1218.00","       1217.53","       1002","             1219964.90","         22","        977","         97.50"
"NHAI","N8","29-Jun-2016","       1070.00","       1060.00","       1070.00","       1060.00","       1065.00","       1065.00","       1064.39","        245","              260775.00","          9","        145","         59.18"
"NHAI","NA","29-Jun-2016","       1095.60","       1097.00","       1099.00","       1097.00","       1097.00","       1097.00","       1097.96","       3310","             3634254.10","         26","       3310","        100.00"
"NHAI","NE","29-Jun-2016","       1109.65","       1111.99","       1111.99","       1107.15","       1107.15","       1107.15","       1109.16","         13","               14419.02","          3","         10","         76.92"
"NHAI","N1","30-Jun-2016","       1140.00","       1139.00","       1140.00","       1139.00","       1140.00","       1140.00","       1139.96","       1570","             1789739.10","          9","       1560","         99.36"
"NHAI","N2","30-Jun-2016","       1191.01","       1192.00","       1206.00","       1187.00","       1206.00","       1200.31","       1193.74","        856","             1021843.97","         11","        793","         92.64"
"NHAI","N6","30-Jun-2016","       1218.00","       1215.00","       1225.00","       1204.20","       1204.20","       1205.92","       1207.78","       4544","             5488174.32","         54","       4294","         94.50"
"NHAI","N8","30-Jun-2016","       1065.00","       1078.79","       1078.79","       1068.00","       1078.00","       1078.00","       1078.31","        120","              129396.90","          4","        115","         95.83"
"NHAI","NA","30-Jun-2016","       1097.00","       1098.00","       1099.00","       1096.00","       1099.00","       1098.11","       1097.82","       1730","             1899224.90","         27","       1730","        100.00"
"NHAI","NE","30-Jun-2016","       1107.15","       1107.05","       1111.00","       1107.05","       1111.00","       1111.00","       1110.34","        120","              133241.00","          4","        100","         83.33"
"NHAI","N1","01-Jul-2016","       1140.00","       1140.00","       1140.00","       1138.00","       1138.00","       1138.92","       1139.49","       4735","             5395505.46","         37","       4585","         96.83"
"NHAI","N2","01-Jul-2016","       1200.31","       1205.00","       1210.00","       1200.00","       1200.00","       1200.00","       1200.77","       2241","             2690917.50","         17","       2240","         99.96"
"NHAI","N6","01-Jul-2016","       1205.92","       1214.40","       1214.40","       1206.00","       1206.00","       1206.92","       1210.94","        497","              601837.50","         11","        497","        100.00"
"NHAI","N8","01-Jul-2016","       1078.00","       1065.00","       1065.00","       1061.00","       1061.00","       1061.00","       1062.00","        100","              106200.00","          2","        100","        100.00"
"NHAI","NA","01-Jul-2016","       1098.11","       1099.00","       1102.00","       1097.00","       1102.00","       1102.00","       1099.22","       5726","             6294159.50","         53","       5626","         98.25"
"NHAI","ND","01-Jul-2016","       1065.00","       1095.00","       1100.00","       1095.00","       1100.00","       1100.00","       1098.23","       1546","             1697869.50","          6","       1546","        100.00"
"NHAI","NE","01-Jul-2016","       1111.00","       1114.95","       1115.00","       1112.00","       1114.00","       1113.98","       1113.89","       1482","             1650779.50","         14","       1482","        100.00"
"NHAI","N1","04-Jul-2016","       1138.92","       1140.00","       1145.40","       1139.00","       1145.40","       1145.40","       1140.11","      16206","            18476543.80","         71","      16206","        100.00"
"NHAI","N2","04-Jul-2016","       1200.00","       1210.00","       1210.00","       1210.00","       1210.00","       1210.00","       1210.00","         62","               75020.00","          1","         62","        100.00"
"NHAI","N4","04-Jul-2016","       1165.00","       1165.11","       1165.45","       1165.11","       1165.45","       1165.45","       1165.28","         60","               69916.80","          2","         30","         50.00"
"NHAI","N6","04-Jul-2016","       1206.92","       1214.99","       1223.00","       1202.20","       1220.00","       1220.40","       1216.46","       2098","             2552138.05","         30","       1935","         92.23"
"NHAI","N8","04-Jul-2016","       1061.00","       1065.00","       1075.00","       1061.11","       1061.11","       1061.11","       1072.30","        222","              238050.64","          4","        176","         79.28"
"NHAI","NA","04-Jul-2016","       1102.00","       1100.00","       1101.00","       1099.40","       1099.40","       1099.40","       1100.08","       4270","             4697338.00","         23","       4070","         95.32"
"NHAI","NE","04-Jul-2016","       1113.98","       1112.05","       1117.00","       1107.20","       1111.00","       1111.00","       1115.26","       1491","             1662852.35","         14","       1380","         92.56"
"NHAI","N1","05-Jul-2016","       1145.40","       1144.95","       1151.90","       1144.95","       1145.50","       1147.87","       1148.84","       8113","             9320556.25","         54","       7092","         87.42"
"NHAI","N2","05-Jul-2016","       1210.00","       1204.00","       1207.00","       1203.00","       1203.00","       1205.50","       1204.53","        878","             1057580.00","          7","        878","        100.00"
"NHAI","N6","05-Jul-2016","       1220.40","       1226.00","       1234.00","       1226.00","       1230.00","       1230.00","       1230.20","       1077","             1324930.01","         20","       1076","         99.91"
"NHAI","N8","05-Jul-2016","       1061.11","       1061.10","       1078.00","       1061.10","       1062.55","       1062.55","       1072.51","        535","              573791.75","          7","        435","         81.31"
"NHAI","NA","05-Jul-2016","       1099.40","       1102.00","       1105.65","       1098.00","       1102.00","       1100.82","       1100.62","       1779","             1958006.10","         30","       1699","         95.50"
